Transaction_ID,Customer_ID,Transaction_Date,Merchant_Name,Merchant_Category,Amount,Payment_Mode,Reward_Points,Transaction_Status,Fraud_Flag,Outstanding_Balance
T200001,C100156,2024-02-23,MedPlus,Pharmacy,9487,Online,94,Success,No,586455
T200002,C100191,2024-03-22,HP,Fuel,3716,Chip,37,Success,No,2848
T200003,C101151,2025-10-26,IRCTC,Travel,78885,Chip,788,Success,No,320020
T200004,C102260,2025-04-15,MedPlus,Pharmacy,2515,Tap,25,Success,No,128378
T200005,C100038,2024-05-30,Dominos,Dining,899,Swipe,8,Success,No,435110
T200006,C102530,2025-10-05,HP,Fuel,3632,Tap,36,Success,No,110774
T200007,C100445,2024-07-19,Vijay Sales,Electronics,32160,Chip,321,Success,No,78925
T200008,C100887,2025-04-04,Vijay Sales,Electronics,11736,Chip,117,Success,No,25069
T200009,C101912,2025-03-14,Reliance Fresh,Grocery,5039,Chip,50,Success,No,483971
T200010,C100325,2024-11-16,KFC,Dining,6459,Swipe,64,Success,No,564325
T200011,C100172,2025-01-18,Flipkart,Shopping,8224,Tap,82,Success,No,101368
T200012,C100024,2025-08-24,IndianOil,Fuel,4773,Tap,47,Success,No,18132
T200013,C100282,2024-09-02,HP,Fuel,4257,Online,42,Success,No,98728
T200014,C102844,2025-05-06,Vijay Sales,Electronics,36982,Online,369,Success,No,2952
T200015,C101315,2024-03-18,Dominos,Dining,9877,Tap,98,Success,No,46277
T200016,C101477,2025-10-20,Croma,Electronics,27357,Swipe,273,Success,No,33888
T200017,C100978,2024-06-02,Electricity,Utilities,6801,Chip,68,Success,No,530831
T200018,C101136,2025-11-01,HP,Fuel,5726,Online,57,Success,No,43716
T200019,C100121,2025-03-16,IndianOil,Fuel,3381,Swipe,33,Success,No,215806
T200020,C101036,2024-03-21,Amazon,Shopping,703,Swipe,7,Success,No,598338
T200021,C100411,2024-03-20,Apollo,Healthcare,9683,Swipe,96,Success,No,110471
T200022,C101091,2025-11-30,Flipkart,Shopping,5250,Tap,52,Success,No,26686
T200023,C102248,2024-11-09,HP,Fuel,4633,Online,46,Success,No,765634
T200024,C101301,2025-05-13,KFC,Dining,8467,Swipe,84,Success,No,267974
T200025,C101133,2025-07-14,Apollo,Healthcare,6651,Chip,66,Success,No,100505
T200026,C102474,2025-08-23,Flipkart,Shopping,2281,Tap,22,Success,No,629563
T200027,C100836,2024-08-25,MakeMyTrip,Travel,36305,Swipe,363,Success,No,90656
T200028,C100726,2024-11-19,IndianOil,Fuel,8232,Tap,82,Success,No,9095
T200029,C102619,2024-09-16,Croma,Electronics,70227,Swipe,702,Success,No,35172
T200030,C101144,2024-11-10,DMart,Grocery,8815,Online,88,Success,No,63511
T200031,C100374,2024-06-20,IndianOil,Fuel,4250,Tap,42,Success,No,89019
T200032,C102014,2024-10-15,HP,Fuel,2200,Swipe,22,Success,Yes,137602
T200033,C100212,2024-12-31,PVR,Entertainment,3801,Swipe,38,Success,No,118310
